"requirement_key","domain","canonical_semantics","applies_to","required","source_object","source_field","data_type","timezone_or_currency","stable_key_or_watermark","sanitized_sample_reference","status","reviewer_note"
"business_day","TIME","PMS夜审后实际营业日，不使用固定凌晨切点","PMS","YES","","","","Asia/Shanghai","","","PENDING",""
"night_audit_change","TIME","以连续成功快照中PMS营业日字段变化识别切换","PMS","YES","","","","Asia/Shanghai","","","PENDING",""
"reservation_stable_key","STAY","跨修改稳定的订单或间夜键","PMS|CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"created_at","STAY","来源记录创建时间","PMS|CTRIP|MEITUAN","YES","","","","Asia/Shanghai","","","PENDING",""
"modified_at","STAY","来源记录最后业务修改时间","PMS|CTRIP|MEITUAN","YES","","","","Asia/Shanghai","","","PENDING",""
"cancelled_at","STAY","取消生效时间；无取消时为空","PMS|CTRIP|MEITUAN","YES","","","","Asia/Shanghai","","","PENDING",""
"source_updated_at","WATERMARK","来源系统可用于增量采集的更新时间","PMS|CTRIP|MEITUAN","YES","","","","Asia/Shanghai","","","PENDING",""
"reservation_status","STAY","映射到有效/修改/取消/离店等标准状态","PMS|CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"arrival_date","STAY","实际入住日，用于当日与远期分类","PMS|CTRIP|MEITUAN","YES","","","","PMS local date","","","PENDING",""
"departure_date","STAY","实际离店日，按间夜拆分","PMS|CTRIP|MEITUAN","YES","","","","PMS local date","","","PENDING",""
"room_count","STAY","多间订单房间数及减房语义","PMS|CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"room_night_delta","STAY","新增/取消/改期/缩住/减房形成的带符号间夜变化","PMS|CTRIP|MEITUAN","YES","","","","night","","","PENDING",""
"room_revenue_amount","REVENUE","仅房费收入，包含钟点房房费，精确到分","PMS","YES","","","","CNY","","","PENDING",""
"is_room_revenue","REVENUE","区分房费与非房费","PMS","YES","","","","","","","PENDING",""
"is_hourly_room","REVENUE","钟点房标识；只进入总营业额，不进入过夜房指标","PMS","YES","","","","","","","PENDING",""
"reversal_or_refund","REVENUE","退款、冲销及负向修订语义","PMS","YES","","","","CNY","","","PENDING",""
"physical_room_type_id","INVENTORY","PMS实体房型稳定ID","PMS","YES","","","","","","","PENDING",""
"physical_room_type_name","INVENTORY","PMS实体房型展示名称","PMS","YES","","","","","","","PENDING",""
"effective_total_rooms","INVENTORY","用于RevPAR和售卖进度的有效可售总房量","PMS","YES","","","","room","","","PENDING",""
"physical_available_rooms","INVENTORY","PMS当前营业日实际可售过夜房量及观察时间","PMS","YES","","","","room","","","PENDING",""
"ota_product_id","INVENTORY","OTA售卖产品稳定ID","CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"ota_product_name","INVENTORY","套餐、含早、无早等售卖名称","CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"ota_product_available_rooms","INVENTORY","单个OTA售卖产品实际可售房量","CTRIP|MEITUAN","YES","","","","room","","","PENDING",""
"ota_product_open_status","INVENTORY","单个OTA产品开关房状态","CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"page_cursor","COLLECTION","分页游标、页码或下一页完成条件","PMS|CTRIP|MEITUAN","YES","","","","","","","PENDING",""
"record_version","COLLECTION","去重、修订和Schema漂移所需记录版本信息","PMS|CTRIP|MEITUAN","YES","","","","","","","PENDING",""
